observation_month,m2_yoy,m1_yoy,m1_m2_gap,availability_date
2024-01-01,8.7,5.9,-2.799999999999999,2024-02-20
2024-02-01,8.7,1.2,-7.499999999999999,2024-03-20
2024-03-01,8.3,1.1,-7.200000000000001,2024-04-20
2024-04-01,7.2,-1.4,-8.6,2024-05-20
2024-05-01,7.0,-4.2,-11.2,2024-06-20
2024-06-01,6.2,-5.0,-11.2,2024-07-20
2024-07-01,6.3,-6.6,-12.899999999999999,2024-08-20
2024-08-01,6.3,-7.3,-13.6,2024-09-20
2024-09-01,6.8,-7.4,-14.2,2024-10-20
2024-10-01,7.5,-6.1,-13.6,2024-11-20
2024-11-01,7.1,-3.7,-10.8,2024-12-20
2024-12-01,7.3,-1.4,-8.7,2025-01-20
2025-01-01,7.0,0.4,-6.6,2025-02-20
2025-02-01,7.0,0.1,-6.9,2025-03-20
2025-03-01,7.0,1.6,-5.4,2025-04-20
2025-04-01,8.0,1.5,-6.5,2025-05-20
2025-05-01,7.9,2.3,-5.6000000000000005,2025-06-20
2025-06-01,8.3,4.6,-3.700000000000001,2025-07-20
2025-07-01,8.8,5.6,-3.200000000000001,2025-08-20
2025-08-01,8.8,6.0,-2.8000000000000007,2025-09-20
2025-09-01,8.4,7.2,-1.2000000000000002,2025-10-20
2025-10-01,8.2,6.2,-1.9999999999999991,2025-11-20
2025-11-01,8.0,4.9,-3.0999999999999996,2025-12-20
2025-12-01,8.5,3.8,-4.7,2026-01-20
2026-01-01,9.0,4.9,-4.1,2026-02-20
2026-02-01,9.0,5.9,-3.0999999999999996,2026-03-20
2026-03-01,8.5,5.1,-3.4000000000000004,2026-04-20
2026-04-01,8.6,5.0,-3.5999999999999996,2026-05-20
2026-05-01,8.6,5.5,-3.0999999999999996,2026-06-20
2026-06-01,8.0,4.0,-4.0,2026-07-20
2026-07-01,7.7,4.0,-3.7,2026-08-20
