rank,code,name,industry,pb_sel,pb_now,mcap_yi,ret_sel_pct,mom20_pct,mom60_pct,mom120_pct,px_vs_ma60_pct,px_vs_ma20_pct,dist_hi52w_pct,dist_lo52w_pct,avg_amt20d_yi,fin_period,fin_quarter,netprofit_yoy_pct,revenue_yoy_pct,roe_pct,netmargin_pct,debt_assets_pct,netprofit_yi,div_yield_pct,div_count
160,600059,古越龙山,酿酒行业,1.28,1.43,83.8,12.21,16.33,19.2,-0.88,15.98,11.75,-14.62,25.55,1.66,2026-06-30,2,1.4,-11.9,1.55,11.63,10.0,0.92,0.98,1
161,600633,浙数文化,游戏,1.28,1.28,132.8,0.1,-6.77,-2.52,-17.56,-0.94,-0.53,-38.85,5.12,1.97,2026-06-30,2,-20.1,22.2,2.9,17.45,13.3,3.01,2.39,2
162,688289,圣湘生物,医疗器械,1.28,1.31,91.9,2.83,1.72,13.49,-10.97,5.04,0.7,-26.43,15.21,1.5,2026-06-30,2,-39.8,-3.9,1.37,11.75,26.6,0.98,3.27,2
163,002183,怡 亚 通,贸易行业,1.29,1.25,113.0,-2.68,-6.05,-20.04,-15.7,-8.65,-3.26,-42.91,2.11,1.91,2026-06-30,2,-15.8,-30.9,0.3,0.11,81.2,0.27,,0
164,002531,天顺风能,风电设备,1.29,1.27,111.4,-1.59,-7.05,-36.08,-50.08,-13.24,-1.84,-52.49,2.65,1.78,2026-06-30,2,115.6,-7.8,1.34,5.75,64.9,1.16,,0
165,600728,佳都科技,软件开发,1.29,1.28,101.1,-0.63,-0.21,4.18,-23.92,4.48,1.24,-41.26,15.61,1.1,2026-06-30,2,-77.3,8.8,0.39,0.57,51.2,0.31,0.17,1
166,002434,万里扬,汽车零部件,1.3,1.3,76.4,0.34,0.69,-14.67,-32.95,-1.95,-0.48,-46.06,11.71,0.92,2026-06-30,2,-74.6,-30.3,1.2,3.59,36.6,0.7,0.86,1
167,600416,湘电股份,电机,1.3,1.32,127.7,1.53,-4.42,-9.42,-38.52,-5.86,-0.44,-50.34,4.72,1.13,2026-06-30,2,-94.0,-11.8,0.12,0.51,41.4,0.11,,0
168,600509,天富能源,电力行业,1.3,1.29,102.4,-0.93,-3.62,-6.32,-24.01,-4.19,-0.7,-27.17,13.8,1.35,2026-06-30,2,-0.8,2.0,3.89,7.26,61.4,3.01,1.13,1
169,600618,氯碱化工,化学原料,1.3,1.29,121.0,-0.95,0.67,-2.24,-30.08,1.27,1.17,-40.9,9.07,0.72,2026-06-30,2,-15.8,6.2,3.92,9.82,37.8,3.73,2.29,1
170,600835,上海机电,专用设备,1.3,1.28,181.8,-1.53,-5.3,-8.14,-26.0,-7.23,-1.74,-44.89,3.5,0.87,2026-06-30,2,-19.4,0.3,2.79,4.18,49.2,3.96,1.99,2
171,600612,老凤祥,珠宝首饰,1.31,1.34,176.8,2.24,-3.07,-2.31,-20.15,-1.85,-1.64,-39.24,5.13,0.85,2026-06-30,2,-41.3,-40.1,5.28,3.58,28.0,7.16,4.88,2
172,600761,安徽合力,工程机械,1.31,1.32,145.9,1.11,-4.93,2.25,-16.64,-2.79,-1.21,-28.61,2.25,1.74,2026-06-30,2,-17.8,12.1,6.1,6.02,42.3,6.72,3.66,2
173,000049,德赛电池,电池,1.32,1.3,89.0,-1.41,-6.2,3.21,-13.89,-3.97,-3.35,-22.75,3.21,1.78,2026-06-30,2,110.4,9.8,3.02,1.92,60.4,2.05,0.99,1
174,600422,昆药集团,中药,1.33,1.32,64.3,-0.93,-3.74,1.19,-30.12,-1.55,-2.46,-42.98,10.26,1.01,2026-06-30,2,-283.5,-51.0,-7.03,-22.15,41.4,-3.64,2.12,1
175,600956,新天绿能,燃气,1.33,1.32,321.8,-0.56,1.27,-6.66,-23.86,0.68,0.74,-32.03,8.99,0.47,2026-06-30,2,-9.3,-15.5,5.14,13.9,66.4,12.81,2.8,1
176,601375,中原证券,证券,1.33,1.31,192.2,-1.66,1.02,11.35,-2.08,1.5,0.79,-13.53,11.35,1.57,2026-06-30,2,61.1,37.0,2.87,33.23,76.0,4.19,0.72,2
177,002019,亿帆医药,化学制药,1.34,1.33,117.4,-1.33,-6.67,-2.23,-32.75,-4.18,-4.88,-40.4,3.21,1.57,2026-06-30,2,-32.5,-6.4,2.3,8.31,32.6,2.05,1.04,1
178,600163,中闽能源,电力行业,1.34,1.39,100.1,4.16,0.19,-7.39,-22.07,1.32,3.1,-36.55,11.44,0.83,2026-06-30,2,-7.3,-0.1,4.52,31.48,47.4,3.47,0.57,1
179,600006,东风股份,汽车整车,1.35,1.35,107.2,0.19,-0.74,-4.96,-22.32,-0.63,-0.03,-35.27,4.89,0.6,2026-06-30,2,27.8,9.6,1.58,2.25,49.5,1.24,,0
180,600821,金开新能,电力行业,1.35,1.36,118.8,1.17,-8.21,-5.63,-40.49,-4.27,-3.22,-46.31,18.43,5.04,2026-06-30,2,-81.7,-12.0,0.89,4.76,73.9,0.81,1.66,1
181,601678,滨化股份,化学原料,1.35,1.22,144.8,-9.76,-17.56,1.01,7.51,-5.09,-9.42,-21.95,49.5,8.46,2026-06-30,2,208.3,12.3,2.89,4.16,48.6,3.44,0.83,2
182,603866,桃李面包,食品饮料,1.35,1.38,69.4,2.12,1.4,5.85,-15.36,5.73,1.58,-23.25,17.93,0.51,2026-06-30,2,-28.8,-2.0,2.75,5.67,28.8,1.45,4.61,1
183,600320,振华重工,专用设备,1.36,1.37,217.1,0.49,-0.96,-4.4,-23.38,-1.19,0.79,-26.12,4.03,1.4,2026-06-30,2,45.9,1.3,3.13,2.85,76.7,5.03,1.82,2
184,601568,北元化工,化学原料,1.36,1.35,151.3,-1.04,2.42,1.8,-18.03,4.54,1.46,-18.03,12.39,0.6,2026-06-30,2,-47.3,-4.4,0.64,1.67,18.6,0.73,1.31,1
185,688408,中信博,光伏设备,1.36,1.35,52.3,-0.95,-12.28,-18.06,-46.57,-12.28,-6.16,-55.49,1.75,0.97,2026-06-30,2,-229.2,-27.9,-5.1,-7.0,67.1,-2.04,,0
186,600210,紫江企业,包装材料,1.38,1.38,92.7,-0.16,-0.16,-3.93,-17.99,-2.33,0.47,-25.21,2.52,0.92,2026-06-30,2,15.1,-7.8,7.82,11.25,50.4,5.44,5.73,1
187,002048,宁波华翔,汽车零部件,1.39,1.3,152.0,-6.63,-3.51,-32.3,-35.32,-11.65,-3.48,-53.4,6.97,3.3,2026-06-30,2,293.6,-20.4,6.13,7.06,49.7,7.23,1.39,1
