symbol,name,tradeCount,tradedDays,averageTradeReturn,winRate,averageWin,averageLoss,profitLossRatio,compoundedSignalReturn,rollingMomentumTrades,tailMomentumTrades
002906,华阳集团,3,2,0.0012484820557397231,0.3333333333333333,0.009756771875174208,-0.003005662853977519,3.2461298386353166,0.0036932623292835753,3,0
002246,北化股份,9,7,0.000445936980147462,0.4444444444444444,0.009400457625131808,-0.006717679535840015,1.399360832111549,0.003640248614268149,9,0
301132,满坤科技,4,3,0.0009272413325696347,0.5,0.007101331746444895,-0.005246849081305626,1.3534469233633455,0.003632096968439802,4,0
603296,华勤技术,11,10,0.0003473090916880193,0.5454545454545454,0.004639193565537548,-0.004802952276931415,0.9659045724479919,0.00356544265534664,10,1
605222,起帆电缆,2,1,0.0017569770428781393,0.5,0.005674522217392065,-0.0021605681316357863,2.6264028124379633,0.0035016938938912112,2,0
601137,博威合金,9,6,0.0004059198248819057,0.5555555555555556,0.005272695751472312,-0.005677550083356103,0.928692072119164,0.0034880816478568555,9,0
603379,三美股份,11,9,0.00035284113498238194,0.36363636363636365,0.010687188529154457,-0.005552500233115946,1.9247524683411013,0.0033950997740521682,10,1
000690,宝新能源,5,5,0.0006784331551625839,0.2,0.009570864806181745,-0.0015446747575922062,6.196038848398435,0.003345675727369324,4,1
002429,兆驰股份,3,3,0.0010626299507718881,0.6666666666666666,0.0037468358597103632,-0.004305781867105062,0.8701871054674446,0.0031652738708087824,3,0
002406,远东传动,2,2,0.0015835669297354369,0.5,0.0069999923706055575,-0.003832858511134684,1.826311185312518,0.003140303879135331,2,0
002201,九鼎新材,5,3,0.0006130734370491506,0.6,0.0024529991974980856,-0.002146815203624252,1.1426224266331513,0.003051255617687376,4,1
002493,荣盛石化,5,4,0.0006187273866338225,0.4,0.008546869058392081,-0.00466670039453835,1.8314587043974084,0.002940153748290042,5,0
600029,南方航空,1,1,0.002913890490010452,1,0.002913890490010452,,,0.0029138904900105622,1,0
601816,京沪高铁,6,5,0.0004956647820761891,0.3333333333333333,0.007825343478334745,-0.0031691745660530892,2.469205566066523,0.0028728362807339813,6,0
300558,贝达药业,9,6,0.0003567693598744613,0.4444444444444444,0.00816598917842526,-0.005890606494966177,1.3862730748359295,0.0028588620674088183,8,1
603920,世运电路,12,10,0.0002785162216895806,0.4166666666666667,0.009604450030091827,-0.00638286507002631,1.504723964038337,0.00284564378976615,12,0
601872,招商轮船,10,7,0.0003232858904038239,0.7,0.005804287316046953,-0.012465717436096813,0.4656199970680833,0.002657184407009572,10,0
600521,华海药业,4,4,0.0006640505345776324,0.75,0.002040237626035225,-0.003464510739795145,0.5888963202220765,0.002642654732454508,4,0
002039,黔源电力,4,3,0.0006482408994376303,0.25,0.012768411117361933,-0.00339181583987047,3.7644765282567776,0.0024963745061004072,4,0
000060,中金岭南,15,8,0.00022588135257868314,0.5333333333333333,0.007238023807182942,-0.007787995738397613,0.9293820965382515,0.002467275320196416,13,2
688717,艾罗能源,4,3,0.0006032449372664903,0.5,0.004488135338003852,-0.0032816454634708716,1.3676478425115801,0.002375483436381165,4,0
002409,雅克科技,4,3,0.0006497083556144256,0.5,0.010674097783380465,-0.009374681072151614,1.1386091645388228,0.0022776263456598667,4,0
300850,新强联,11,8,0.0002116539643477468,0.2727272727272727,0.007610376223754674,-0.0025628668829298508,2.9694777650934983,0.002131528875180644,11,0
600150,中国船舶,9,7,0.00025781170795845444,0.4444444444444444,0.0067626012921418455,-0.004946019959388258,1.3672814399597102,0.0021284488201589458,8,1
000786,北新建材,13,9,0.0001746478382261751,0.5384615384615384,0.003957172426460543,-0.004238297514713922,0.9336702798051792,0.0020984408344069116,13,0
