instrumentKey,market,symbol,name,industry,tradeDate,open,high,low,close,previousClose,volume,amount,turnoverRatePct,totalMarketCap,floatMarketCap,peTtm,pb,psTtm,volumeRatio,year
920,SZ,000892,欢瑞世纪,文化传媒,2000-01-04,8.6,8.75,8.46,8.73,8.77,702370,6041966.2,0.878991,2408763441.6,697582872,57.215241,5.703066,10.507166,0.78,2000
921,SZ,000893,亚钾国际,化肥行业,2000-01-04,6.98,7.25,6.88,7.23,6.97,196100,1383804,0.344876,1605060000,411105030,31.71318,2.841121,4.78626,1.53,2000
923,SZ,000897,津滨发展,房地产开发,2000-01-04,10.2,10.85,10.18,10.66,10.17,622388,6634147.8,0.889126,2878200000,746200000,55.998541,4.49867,8.116132,2.19,2000
924,SZ,000898,鞍钢股份,钢铁行业,2000-01-04,3.01,3.07,2.98,3.06,3,2284714,6874881.14,0.761749,7677540000,917785800,87.042004,1.473698,1.401534,3.28,2000
925,SZ,000899,赣能股份,电力行业,2000-01-04,9.07,9.8,8.93,9.61,9.24,1482234,14095227.25,1.078145,4766560000,1321182800,30.908449,3.978298,9.425787,0.78,2000
926,SZ,000900,现代投资,铁路公路,2000-01-04,8.95,8.99,8.66,8.95,8.84,1048265,9292714.55,0.873554,2551810575,1074000000,27.552951,2.131405,13.789159,1.53,2000
928,SZ,000902,新洋丰,化肥行业,2000-01-04,9.26,10.16,9.26,10.02,9.24,8208568,82093629.26,12.628566,2154300000,651300000,41.903769,3.617319,8.391573,6.1,2000
929,SZ,000903,ST云动,汽车零部件,2000-01-04,8.08,8.24,8.01,8.2,8,244541,1994270.62,0.407568,1476000000,492000000,28.897767,2.539505,4.118403,2.09,2000
930,SZ,000905,厦门港务,航运港口,2000-01-04,10.8,10.98,10.6,10.9,10.71,540459,5849317.9,0.568904,3215500000,1035500000,30.739279,3.216122,26.475082,1.87,2000
931,SZ,000906,浙商中拓,物流行业,2000-01-04,13.29,13.58,13,13.48,13.28,581897,7761688.88,1.662563,1685000000,471800000,59.734073,5.604382,2.26193,0.91,2000
932,SZ,000908,石药景峰,化学制药,2000-01-04,17.66,18.5,17.66,18.5,17.56,521358,9556435.71,1.160482,2590000000,831131000,88.260891,6.21493,29.982928,1.25,2000
933,SZ,000909,*ST数源,综合行业,2000-01-04,18.38,18.77,18.32,18.74,18.37,260800,4850003,0.434667,3673040000,1124400000,72.801368,7.048334,4.601483,1.35,2000
934,SZ,000910,大亚圣象,装修建材,2000-01-04,10.2,10.45,10.03,10.42,10.18,319222,3298762.18,0.399027,2409625000,833600000,37.525724,3.381696,6.377002,0.61,2000
935,SZ,000911,*ST广糖,食品饮料,2000-01-04,7,7.14,6.9,7.11,7,206300,1459438,0.368393,1592640000,398160000,32.222258,3.157155,1.593581,1.42,2000
936,SZ,000912,泸天化,化肥行业,2000-01-04,7.14,7.35,7,7.31,7.14,564323,4068486.12,0.376215,3289500000,1096500000,22.903065,2.451191,3.84308,1.02,2000
937,SZ,000913,钱江摩托,交运设备,2000-01-04,7.9,8.09,7.78,8.05,7.86,371817,2966919.07,0.572026,2093000000,523250000,31.211445,2.927161,1.600557,1.17,2000
938,SZ,000915,华特达因,化学制药,2000-01-04,15.75,15.86,15.01,15.75,15.77,184805,2899801.1,0.616017,1422792000,472500000,66.196562,5.538038,10.321334,0.37,2000
939,SZ,000916,华北高速,铁路公路,2000-01-04,4.54,4.65,4.47,4.62,4.53,2460220,11234485.2,0.723594,5035800000,1570800000,44.058412,4.420122,19.717593,2.46,2000
940,SZ,000917,电广传媒,文化传媒,2000-01-04,26.48,28.93,26.48,28.17,26.39,5696860,159093462.61,8.7644,5786118000,1831050000,90.295664,8.341048,18.754663,1.77,2000
941,SZ,000918,*ST嘉凯,房地产开发,2000-01-04,14,14.11,13.32,13.78,13.56,762502,10421447.3,1.270837,2342627560,826800000,48.387622,3.934208,9.178188,2.44,2000
942,SZ,000919,金陵药业,化学制药,2000-01-04,15.76,16.4,15.72,16.34,15.72,2903515,47018009.13,4.03266,4575200000,1176480000,46.595749,12.46365,13.494357,1.64,2000
