signalMonth,previousSignalMonth,action,indexCode,industryName,previousRank,currentRank,previousEqualWeight,currentEqualWeight,previousMarketCapWeight,currentMarketCapWeight
2024-06-01,2024-05-01,REWEIGHT,801170,交通运输,4,4,0.2,0.2,0.13243906597651334,0.11939700923041356
2024-07-01,2024-06-01,ADD,801720,建筑装饰,,3,0,0.2,0,0.06784789111080976
2024-07-01,2024-06-01,REMOVE,801950,煤炭,2,,0.2,0,0.08307663338567779,0
2024-07-01,2024-06-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.4593575067750819,0.47827184460002203
2024-07-01,2024-06-01,REWEIGHT,801960,石油石化,3,2,0.2,0.2,0.19685987971080596,0.18588537740824446
2024-07-01,2024-06-01,REWEIGHT,801170,交通运输,4,4,0.2,0.2,0.11939700923041356,0.12444076183237114
2024-07-01,2024-06-01,REWEIGHT,801160,公用事业,5,5,0.2,0.2,0.14130897089802083,0.14355412504855258
2024-08-01,2024-07-01,ADD,801790,非银金融,,3,0,0.2,0,0.19621394257107796
2024-08-01,2024-07-01,REMOVE,801720,建筑装饰,3,,0.2,0,0.06784789111080976,0
2024-08-01,2024-07-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.47827184460002203,0.4157100893309739
2024-08-01,2024-07-01,REWEIGHT,801960,石油石化,2,2,0.2,0.2,0.18588537740824446,0.16307759168432467
2024-08-01,2024-07-01,REWEIGHT,801160,公用事业,5,4,0.2,0.2,0.14355412504855258,0.12102350374509656
2024-08-01,2024-07-01,REWEIGHT,801170,交通运输,4,5,0.2,0.2,0.12444076183237114,0.10397487266852698
2024-09-01,2024-08-01,ADD,801180,房地产,,2,0,0.2,0,0.049549781838978395
2024-09-01,2024-08-01,ADD,801110,家用电器,,3,0,0.2,0,0.07476448811217928
2024-09-01,2024-08-01,REMOVE,801960,石油石化,2,,0.2,0,0.16307759168432467,0
2024-09-01,2024-08-01,REMOVE,801160,公用事业,4,,0.2,0,0.12102350374509656,0
2024-09-01,2024-08-01,REWEIGHT,801790,非银金融,3,1,0.2,0.2,0.19621394257107796,0.2725313599231622
2024-09-01,2024-08-01,REWEIGHT,801780,银行,1,4,0.2,0.2,0.4157100893309739,0.47716142547538865
2024-09-01,2024-08-01,REWEIGHT,801170,交通运输,5,5,0.2,0.2,0.10397487266852698,0.12599294465029157
2024-10-01,2024-09-01,ADD,801770,通信,,3,0,0.2,0,0.16524674495199113
2024-10-01,2024-09-01,ADD,801720,建筑装饰,,4,0,0.2,0,0.06983394348410657
2024-10-01,2024-09-01,REMOVE,801110,家用电器,3,,0.2,0,0.07476448811217928,0
