strategy,tradeDate,count,grossReturn,grossTradedNotional,oneWayTurnover,cost,netReturn
仅盈利,2025-04-18,100,0.01186938870262395,0.12,0.06,0.00017999999999999998,0.01168938870262395
仅盈利,2025-04-25,100,0.0276299998149738,0.38,0.19,0.00057,0.027059999814973798
仅盈利,2025-05-07,100,0.01691634613054593,1.08,0.54,0.0016200000000000001,0.01529634613054593
仅盈利,2025-05-14,100,0.008481987892865821,0.04,0.02,6e-05,0.008421987892865822
仅盈利,2025-05-21,100,-0.013930479762734996,0.04,0.02,6e-05,-0.013990479762734995
仅盈利,2025-05-28,100,0.03130598700413558,0.04,0.02,6e-05,0.03124598700413558
仅盈利,2025-06-05,100,0.028630447338762993,0.04,0.02,6e-05,0.028570447338762992
仅盈利,2025-06-12,100,-0.03423323427315553,0.08,0.04,0.00012,-0.03435323427315553
仅盈利,2025-06-19,100,0.030145115690098017,0.02,0.01,3e-05,0.030115115690098018
仅盈利,2025-06-26,100,0.02347233426600245,0.02,0.01,3e-05,0.02344233426600245
仅盈利,2025-07-03,100,0.01182429978432185,0.04,0.02,6e-05,0.011764299784321851
仅盈利,2025-07-10,100,0.01906407401542964,0.02,0.01,3e-05,0.01903407401542964
仅盈利,2025-07-17,100,0.021949717563397694,0.06,0.03,8.999999999999999e-05,0.021859717563397694
仅盈利,2025-07-24,100,-0.005278193120984442,0.08,0.04,0.00012,-0.005398193120984442
仅盈利,2025-07-31,100,0.026010871690161384,0.08,0.04,0.00012,0.025890871690161386
仅盈利,2025-08-07,100,0.008875479647663116,0.08,0.04,0.00012,0.008755479647663116
仅盈利,2025-08-14,100,0.04749716362879255,0.1,0.05,0.00015000000000000001,0.04734716362879255
仅盈利,2025-08-21,100,0.017190748201648984,0.24,0.12,0.00035999999999999997,0.016830748201648985
仅盈利,2025-08-28,100,-0.028922118391594243,0.52,0.26,0.0007800000000000001,-0.029702118391594243
仅盈利,2025-09-04,100,0.043441300593172694,0.34,0.17,0.00051,0.0429313005931727
仅盈利,2025-09-11,100,-0.0013180335135013987,0.0,0.0,0.0,-0.0013180335135013987
仅盈利,2025-09-18,100,0.007793687626010206,0.02,0.01,3e-05,0.007763687626010206
仅盈利,2025-09-25,100,0.00175178254707136,0.02,0.01,3e-05,0.0017217825470713598
仅盈利,2025-10-10,100,-0.040139541257977536,0.04,0.02,6e-05,-0.040199541257977534
仅盈利,2025-10-17,100,0.03566027394418879,0.06,0.03,8.999999999999999e-05,0.03557027394418879
仅盈利,2025-10-24,100,0.0004205626862468137,0.1,0.05,0.00015000000000000001,0.0002705626862468137
仅盈利,2025-10-31,100,0.0089512960797443,0.42,0.21,0.00063,0.0083212960797443
仅盈利,2025-11-07,100,0.0001303395383349648,0.04,0.02,6e-05,7.033953833496481e-05
仅盈利,2025-11-14,100,-0.0509691728957492,0.06,0.03,8.999999999999999e-05,-0.0510591728957492
仅盈利,2025-11-21,100,0.04154445310491706,0.04,0.02,6e-05,0.041484453104917066
仅盈利,2025-11-28,100,0.0016949987585127336,0.08,0.04,0.00012,0.0015749987585127335
仅盈利,2025-12-05,100,0.00497518974638996,0.0,0.0,0.0,0.00497518974638996
仅盈利,2025-12-12,100,0.011201118616939792,0.0,0.0,0.0,0.011201118616939792
仅盈利,2025-12-19,100,0.024176131545866876,0.02,0.01,3e-05,0.024146131545866877
仅盈利,2025-12-26,100,0.034444767531520926,0.06,0.03,8.999999999999999e-05,0.034354767531520926
仅盈利,2026-01-06,100,0.04372267891986691,0.04,0.02,6e-05,0.043662678919866915
仅盈利,2026-01-13,100,0.01810421296022413,0.06,0.03,8.999999999999999e-05,0.01801421296022413
仅盈利,2026-01-20,100,0.023986219342576977,0.06,0.03,8.999999999999999e-05,0.023896219342576977
仅盈利,2026-01-27,100,-0.012234393065108016,0.02,0.01,3e-05,-0.012264393065108016
仅盈利,2026-02-03,100,0.0069066768774827545,0.04,0.02,6e-05,0.006846676877482754
仅盈利,2026-02-10,100,0.00636858268462584,0.06,0.03,8.999999999999999e-05,0.00627858268462584
仅盈利,2026-02-25,100,-0.04035305070724103,0.04,0.02,6e-05,-0.04041305070724103
仅盈利,2026-03-04,100,0.03163819780435722,0.08,0.04,0.00012,0.03151819780435722
仅盈利,2026-03-11,100,-0.02816570132022839,0.04,0.02,6e-05,-0.02822570132022839
仅盈利,2026-03-18,100,-0.04915720592529616,0.1,0.05,0.00015000000000000001,-0.04930720592529616
仅盈利,2026-03-25,100,0.007192602353076877,0.06,0.03,8.999999999999999e-05,0.007102602353076877
仅盈利,2026-04-01,100,0.0012738271507360698,0.18,0.09,0.00027,0.0010038271507360698
仅盈利,2026-04-09,100,0.026486380425680616,0.08,0.04,0.00012,0.026366380425680618
仅盈利,2026-04-16,100,-0.0002610281731726083,0.14,0.07,0.00021000000000000004,-0.0004710281731726084
仅盈利,2026-04-23,100,-0.012584178283111074,0.34,0.17,0.00051,-0.013094178283111074
仅盈利,2026-04-30,100,0.05323666094132883,1.1400000000000001,0.5700000000000001,0.0017100000000000001,0.05152666094132883
仅盈利,2026-05-12,100,-0.009860360692349244,0.08,0.04,0.00012,-0.009980360692349245
仅盈利,2026-05-19,100,-0.018298843457308207,0.06,0.03,8.999999999999999e-05,-0.018388843457308207
仅盈利,2026-05-26,100,-0.01987798158739047,0.02,0.01,3e-05,-0.019907981587390468
仅盈利,2026-06-02,100,-0.036835217644831365,0.06,0.03,8.999999999999999e-05,-0.036925217644831365
仅盈利,2026-06-09,100,0.021602169622682715,0.04,0.02,6e-05,0.021542169622682714
仅盈利,2026-06-16,100,-0.0006689878753788814,0.02,0.01,3e-05,-0.0006989878753788813
仅盈利,2026-06-24,100,0.00881546374530271,0.02,0.01,3e-05,0.008785463745302709
仅盈利,2026-07-01,100,-0.044682627459106186,0.04,0.02,6e-05,-0.044742627459106184
仅盈利,2026-07-08,100,-0.010537365273378358,0.06,0.03,8.999999999999999e-05,-0.010627365273378358
仅盈利,2026-07-15,100,-0.0698459517063824,0.08,0.04,0.00012,-0.0699659517063824
仅盈利,2026-07-22,100,0.008450377966429815,0.08,0.04,0.00012,0.008330377966429815
仅规模,2015-01-05,100,-0.033865992254646045,1.0,1.0,0.0015,-0.035365992254646046
仅规模,2015-01-12,100,-0.05231831018518594,0.04,0.02,6e-05,-0.05237831018518594
仅规模,2015-01-19,100,0.08276565015454213,0.06,0.03,8.999999999999999e-05,0.08267565015454212
仅规模,2015-01-26,100,-0.058672197168973365,0.08,0.04,0.00012,-0.05879219716897337
仅规模,2015-02-02,100,-0.02667594858165277,0.06,0.03,8.999999999999999e-05,-0.02676594858165277
仅规模,2015-02-09,100,0.06007108140216931,0.04,0.02,6e-05,0.06001108140216931
仅规模,2015-02-16,100,0.049215569335880345,0.1,0.05,0.00015000000000000001,0.04906556933588035
仅规模,2015-03-02,100,-0.005172003616447244,0.06,0.03,8.999999999999999e-05,-0.005262003616447243
仅规模,2015-03-09,100,0.04190708660614524,0.08,0.04,0.00012,0.04178708660614524
仅规模,2015-03-16,100,0.07714311771784384,0.06,0.03,8.999999999999999e-05,0.07705311771784383
仅规模,2015-03-23,100,0.04916227855232272,0.04,0.02,6e-05,0.04910227855232272
仅规模,2015-03-30,100,0.04313974734066685,0.12,0.06,0.00017999999999999998,0.04295974734066685
仅规模,2015-04-07,100,0.03965395814728323,0.06,0.03,8.999999999999999e-05,0.03956395814728323
仅规模,2015-04-14,100,0.06958451747866165,0.08,0.04,0.00012,0.06946451747866166
