signalMonth,previousSignalMonth,action,indexCode,industryName,previousRank,currentRank,previousEqualWeight,currentEqualWeight,previousMarketCapWeight,currentMarketCapWeight
2025-03-01,2025-02-01,ADD,801710,建筑材料,,4,0,0.2,0,0.031167079085353155
2025-03-01,2025-02-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.5186306700595892,0.5921251275615016
2025-03-01,2025-02-01,REWEIGHT,801040,钢铁,2,2,0.2,0.2,0.033821637550680864,0.037494720017910245
2025-03-01,2025-02-01,REWEIGHT,801880,汽车,5,5,0.2,0.2,0.1800273910443193,0.20823289282343477
2025-04-01,2025-03-01,ADD,801010,农林牧渔,,4,0,0.2,0,0.05375027592362371
2025-04-01,2025-03-01,ADD,801160,公用事业,,5,0,0.2,0,0.14190945329474305
2025-04-01,2025-03-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.5921251275615016,0.5757701775277824
2025-04-01,2025-03-01,REWEIGHT,801040,钢铁,2,2,0.2,0.2,0.037494720017910245,0.034873842787740195
2025-04-01,2025-03-01,REWEIGHT,801880,汽车,5,3,0.2,0.2,0.20823289282343477,0.1936962504661108
2025-05-01,2025-04-01,ADD,801130,纺织服饰,,2,0,0.2,0,0.027351315471681546
2025-05-01,2025-04-01,ADD,801170,交通运输,,4,0,0.2,0,0.14641885199207175
2025-05-01,2025-04-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.5757701775277824,0.6173292734308254
2025-05-01,2025-04-01,REWEIGHT,801160,公用事业,5,3,0.2,0.2,0.14190945329474305,0.1508970675531491
2025-05-01,2025-04-01,REWEIGHT,801010,农林牧渔,4,5,0.2,0.2,0.05375027592362371,0.05800349155227218
2025-06-01,2025-05-01,ADD,801770,通信,,2,0,0.2,0,0.15704328098817777
2025-06-01,2025-05-01,ADD,801790,非银金融,,3,0,0.2,0,0.2280931752043416
2025-06-01,2025-05-01,ADD,801050,有色金属,,4,0,0.2,0,0.09871996181981907
2025-06-01,2025-05-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.6173292734308254,0.4753954372958736
2025-06-01,2025-05-01,REWEIGHT,801010,农林牧渔,5,5,0.2,0.2,0.05800349155227218,0.040748144691787926
2025-07-01,2025-06-01,ADD,801040,钢铁,,3,0,0.2,0,0.029367598875691153
2025-07-01,2025-06-01,REWEIGHT,801770,通信,2,1,0.2,0.2,0.15704328098817777,0.1591858804899877
2025-07-01,2025-06-01,REWEIGHT,801790,非银金融,3,2,0.2,0.2,0.2280931752043416,0.2356237569068483
2025-07-01,2025-06-01,REWEIGHT,801050,有色金属,4,4,0.2,0.2,0.09871996181981907,0.10360530411661374
2025-07-01,2025-06-01,REWEIGHT,801780,银行,1,5,0.2,0.2,0.4753954372958736,0.4722174596108591
2025-08-01,2025-07-01,ADD,801710,建筑材料,,3,0,0.2,0,0.043489650126847954
2025-08-01,2025-07-01,REWEIGHT,801770,通信,1,1,0.2,0.2,0.1591858804899877,0.297678958831148
2025-08-01,2025-07-01,REWEIGHT,801790,非银金融,2,2,0.2,0.2,0.2356237569068483,0.41033850266064453
2025-08-01,2025-07-01,REWEIGHT,801050,有色金属,4,4,0.2,0.2,0.10360530411661374,0.20093873090471603
2025-08-01,2025-07-01,REWEIGHT,801040,钢铁,3,5,0.2,0.2,0.029367598875691153,0.04755415747664348
2025-09-01,2025-08-01,ADD,801720,建筑装饰,,3,0,0.2,0,0.09244431736084688
2025-09-01,2025-08-01,REWEIGHT,801770,通信,1,1,0.2,0.2,0.297678958831148,0.2773177407622113
2025-09-01,2025-08-01,REWEIGHT,801710,建筑材料,3,2,0.2,0.2,0.043489650126847954,0.04115241509652369
2025-09-01,2025-08-01,REWEIGHT,801050,有色金属,4,4,0.2,0.2,0.20093873090471603,0.21852416960713283
2025-09-01,2025-08-01,REWEIGHT,801790,非银金融,2,5,0.2,0.2,0.41033850266064453,0.37056135717328537
2025-10-01,2025-09-01,ADD,801950,煤炭,,2,0,0.2,0,0.1271049012926702
2025-10-01,2025-09-01,ADD,801040,钢铁,,4,0,0.2,0,0.06466284092155705
2025-10-01,2025-09-01,REWEIGHT,801770,通信,1,1,0.2,0.2,0.2773177407622113,0.37165140992180734
2025-10-01,2025-09-01,REWEIGHT,801050,有色金属,4,3,0.2,0.2,0.21852416960713283,0.3089645662058444
2025-10-01,2025-09-01,REWEIGHT,801720,建筑装饰,3,5,0.2,0.2,0.09244431736084688,0.127616281658121
2025-11-01,2025-10-01,ADD,801960,石油石化,,3,0,0.2,0,0.2419170966290506
2025-11-01,2025-10-01,REWEIGHT,801770,通信,1,1,0.2,0.2,0.37165140992180734,0.3100489664621967
2025-11-01,2025-10-01,REWEIGHT,801950,煤炭,2,2,0.2,0.2,0.1271049012926702,0.1006278314637718
